frame.time_relative,tcp.analysis.ack_rtt
"0.050772000","0.050772000"
"0.051109000","0.000337000"
"0.102142000","0.050854000"
"0.102327000","0.000175000"
"0.196481000","0.093951000"
"0.247939000","0.051147000"
"0.291908000","0.043956000"
"0.299756000","0.051151000"
"0.300101000","0.000345000"
"0.350918000","0.050720000"
"0.351570000","0.000073000"
"0.402377000","0.000192000"
"0.452965000","0.050555000"
"0.452992000","0.050569000"
"0.452996000","0.050572000"
"0.452999000","0.050561000"
"0.453000000","0.050560000"
"0.503825000","0.050598000"
"0.503833000","0.050591000"
"0.503834000","0.050316000"
"0.503942000","0.050399000"
"0.504219000","0.050579000"
"0.504228000","0.050566000"
"0.504230000","0.050524000"
"0.504234000","0.050519000"
"0.504235000","0.050454000"
"0.504236000","0.050447000"
"0.554844000","0.050816000"
"0.554859000","0.050454000"
"0.556652000","0.052235000"
"0.558179000","0.053760000"
"0.559903000","0.055460000"
"0.561410000","0.056965000"
"0.563048000","0.058591000"
"0.564287000","0.059828000"
"0.606118000","0.050958000"
"0.606129000","0.050950000"
"0.606131000","0.050649000"
"0.606133000","0.050632000"
"0.606135000","0.050593000"
"0.606137000","0.050487000"
"0.606139000","0.050475000"
"0.606142000","0.050472000"
"0.606155000","0.050355000"
"0.606158000","0.050350000"
"0.606161000","0.050292000"
"0.606418000","0.050544000"
"0.608100000","0.052196000"
"0.609903000","0.053981000"
"0.611466000","0.055516000"
"0.613031000","0.057077000"
"0.614418000","0.058403000"
"0.616089000","0.059287000"
"0.617609000","0.060798000"
"0.619210000","0.062311000"
"0.621118000","0.062783000"
"0.622497000","0.064150000"
"0.624091000","0.065637000"
"0.625748000","0.065696000"
"0.627381000","0.067323000"
"0.629091000","0.068948000"
"0.630646000","0.069133000"
"0.632169000","0.070652000"
"0.633733000","0.072198000"
"0.635329000","0.072191000"
"0.636908000","0.073767000"
"0.638624000","0.075424000"
"0.640177000","0.075785000"
"0.641851000","0.077458000"
"0.642659000","0.078243000"
"0.656970000","0.050569000"
"0.656975000","0.050554000"
"0.656975000","0.050469000"
"0.656976000","0.050457000"
"0.656977000","0.050405000"
"0.657020000","0.050409000"
"0.659709000","0.053078000"
"0.662060000","0.055419000"
"0.664348000","0.057698000"
"0.666825000","0.060166000"
"0.667626000","0.060897000"
"0.670123000","0.063383000"
"0.672506000","0.065754000"
"0.674947000","0.068146000"
"0.677388000","0.070576000"
"0.679814000","0.072992000"
"0.682154000","0.075322000"
"0.684732000","0.077886000"
"0.685370000","0.077091000"
"0.687866000","0.079562000"
"0.690156000","0.080040000"
"0.692639000","0.081107000"
"0.695130000","0.082019000"
"0.697620000","0.084501000"
"0.699968000","0.085516000"
"0.702317000","0.086141000"
"0.703134000","0.086952000"
"0.705609000","0.087952000"
"0.707966000","0.088671000"
"0.710431000","0.091090000"
"0.712864000","0.091616000"
"0.715181000","0.092602000"
"0.717912000","0.093778000"
"0.720197000","0.096055000"
"0.721019000","0.095169000"
"0.723280000","0.097423000"
"0.725798000","0.098324000"
"0.728161000","0.098940000"
"0.730661000","0.099958000"
"0.733021000","0.102314000"
"0.735567000","0.103372000"
"0.737145000","0.103345000"
"0.738743000","0.103322000"
"0.740210000","0.103203000"
"0.741982000","0.103311000"
"0.743629000","0.103410000"
"0.745235000","0.103336000"
"0.746752000","0.104058000"
"0.748264000","0.091100000"
"0.749989000","0.092817000"
"0.751677000","0.094453000"
"0.753260000","0.096033000"
"0.754937000","0.097689000"
"0.756557000","0.099306000"
"0.758103000","0.100846000"
"0.759819000","0.102557000"
"0.761245000","0.103978000"
"0.763021000","0.103269000"
"0.764631000","0.104873000"
"0.766087000","0.104003000"
"0.768041000","0.103667000"
"0.769368000","0.104991000"
"0.770988000","0.104139000"
"0.772647000","0.105795000"
"0.774102000","0.103849000"
"0.775821000","0.105560000"
"0.777537000","0.104972000"
"0.779072000","0.104065000"
"0.780727000","0.105717000"
"0.782185000","0.104765000"
"0.783860000","0.103987000"
"0.785565000","0.105689000"
"0.787149000","0.104959000"
"0.788803000","0.106610000"
"0.790255000","0.105401000"
"0.792019000","0.106571000"
"0.793602000","0.105641000"
"0.795118000","0.104931000"
"0.796845000","0.106655000"
"0.798337000","0.105627000"
"0.800075000","0.104915000"
"0.801709000","0.106546000"
"0.803225000","0.105547000"
"0.804963000","0.107283000"
"0.806543000","0.106510000"
"0.808156000","0.105695000"
"0.809847000","0.107379000"
"0.811501000","0.105827000"
"0.813065000","0.107387000"
"0.814611000","0.106592000"
"0.816095000","0.105633000"
"0.817970000","0.107506000"
"0.819498000","0.106605000"
"0.821192000","0.108296000"
"0.822677000","0.107472000"
"0.824200000","0.106216000"
"0.825960000","0.107960000"
"0.827528000","0.107153000"
"0.829104000","0.108000000"
"0.830803000","0.107425000"
"0.832263000","0.106381000"
"0.833989000","0.108104000"
"0.835591000","0.107260000"
"0.837152000","0.106412000"
"0.838784000","0.108040000"
"0.840773000","0.107638000"
"0.842065000","0.108926000"
"0.843682000","0.108013000"
"0.845390000","0.108144000"
"0.846911000","0.108090000"
"0.848503000","0.108236000"
"0.850188000","0.108141000"
"0.851793000","0.108104000"
"0.853364000","0.108107000"
"0.855152000","0.109894000"
"0.856576000","0.109765000"
"0.858156000","0.109871000"
"0.859921000","0.109883000"
"0.861443000","0.109678000"
"0.863115000","0.109709000"
"0.864668000","0.109666000"
"0.866246000","0.109641000"
"0.868017000","0.109861000"
"0.869602000","0.109752000"
"0.871166000","0.109896000"
"0.872726000","0.109676000"
"0.874314000","0.109657000"
"0.876038000","0.109927000"
"0.877651000","0.109511000"
"0.879236000","0.109724000"
"0.880887000","0.109848000"
"0.883258000","0.110578000"
"0.884928000","0.110785000"
"0.886571000","0.110691000"
"0.888208000","0.110608000"
"0.889730000","0.110601000"
"0.891219000","0.110430000"
"0.893185000","0.110973000"
"0.894951000","0.111024000"
"0.896260000","0.110584000"
"0.897848000","0.110632000"
"0.899395000","0.110519000"
"0.901036000","0.110725000"
"0.902673000","0.110572000"
"0.904207000","0.110501000"
"0.905827000","0.112119000"
"0.907483000","0.112344000"
"0.909080000","0.112133000"
"0.910723000","0.112275000"
"0.912263000","0.112099000"
"0.913933000","0.112097000"
"0.915530000","0.112221000"
"0.917114000","0.112024000"
"0.918053000","0.111456000"
"0.919702000","0.111497000"
"0.921120000","0.111226000"
"0.922851000","0.112954000"
"0.924458000","0.112911000"
"0.926033000","0.112887000"
"0.927738000","0.113055000"
"0.929298000","0.113126000"
"0.930881000","0.112781000"
"0.932509000","0.112935000"
"0.934106000","0.112786000"
"0.935854000","0.113153000"
"0.937263000","0.113015000"
"0.938959000","0.112910000"
"0.940572000","0.112985000"
"0.942153000","0.113025000"
"0.943834000","0.113003000"
"0.945423000","0.113135000"
"0.947043000","0.112988000"
"0.948602000","0.112942000"
"0.950153000","0.112944000"
"0.951930000","0.113074000"
"0.953521000","0.112628000"
"0.955964000","0.113859000"
"0.957544000","0.113793000"
"0.959107000","0.113629000"
"0.960908000","0.113922000"
"0.962466000","0.113886000"
"0.964063000","0.113792000"
"0.965550000","0.113614000"
"0.967130000","0.113628000"
"0.968856000","0.113505000"
"0.970394000","0.113723000"
"0.972054000","0.113804000"
"0.973640000","0.115385000"
"0.975211000","0.115244000"
"0.976954000","0.115480000"
"0.978632000","0.115485000"
"0.980082000","0.115371000"
"0.981740000","0.115467000"
"0.983271000","0.115001000"
"0.984959000","0.115047000"
"0.986642000","0.115427000"
"0.988134000","0.115384000"
"0.989822000","0.115436000"
"0.990655000","0.116265000"
"0.992143000","0.116069000"
"0.993945000","0.116264000"
"0.995497000","0.116231000"
"0.997077000","0.116159000"
"0.998768000","0.115437000"
"1.000224000","0.115155000"
"1.001946000","0.115240000"
"1.003594000","0.115244000"
"1.005140000","0.115372000"
"1.006761000","0.115502000"
"1.125394000","0.202508000"
"1.146433000","0.190404000"
"1.169198000","0.213166000"
"1.169801000","0.179951000"
"1.193279000","0.202585000"
"1.194083000","0.086951000"
"1.196494000","0.084365000"
"1.198135000","0.084371000"
"1.199765000","0.084521000"
"1.201303000","0.084342000"
"1.203041000","0.084366000"
"1.204595000","0.084312000"
"1.206115000","0.084150000"
"1.207772000","0.084483000"
"1.209708000","0.084592000"
"1.211118000","0.085685000"
"1.213429000","0.085506000"
"1.215083000","0.085180000"
"1.216741000","0.084573000"
"1.217492000","0.085320000"
"1.219145000","0.084271000"
"1.219923000","0.085042000"
"1.221675000","0.084388000"
