frame.time_relative,tcp.analysis.ack_rtt
"0.050638000","0.050638000"
"0.050834000","0.000196000"
"0.101876000","0.050917000"
"0.102098000","0.000209000"
"0.194083000","0.091810000"
"0.245417000","0.051059000"
"0.287058000","0.041629000"
"0.297147000","0.051254000"
"0.297452000","0.000305000"
"0.348257000","0.050710000"
"0.348842000","0.000153000"
"0.399688000","0.000152000"
"0.450453000","0.050761000"
"0.450794000","0.051100000"
"0.452499000","0.052760000"
"0.454132000","0.054383000"
"0.455774000","0.056024000"
"0.501458000","0.050775000"
"0.501780000","0.051087000"
"0.503722000","0.052789000"
"0.505170000","0.054226000"
"0.506903000","0.054209000"
"0.508230000","0.055514000"
"0.509905000","0.055607000"
"0.511618000","0.057290000"
"0.513057000","0.057238000"
"0.514792000","0.058958000"
"0.552009000","0.050421000"
"0.552662000","0.051069000"
"0.554320000","0.052505000"
"0.555939000","0.054121000"
"0.557531000","0.053703000"
"0.558992000","0.055158000"
"0.560661000","0.055441000"
"0.562308000","0.057085000"
"0.564000000","0.057069000"
"0.565563000","0.058629000"
"0.567130000","0.058827000"
"0.568864000","0.060560000"
"0.570516000","0.060581000"
"0.572131000","0.062182000"
"0.573722000","0.061739000"
"0.575282000","0.063287000"
"0.576871000","0.063705000"
"0.578639000","0.065468000"
"0.580037000","0.065164000"
"0.581699000","0.066822000"
"0.602417000","0.050308000"
"0.603191000","0.051077000"
"0.604789000","0.052080000"
"0.606452000","0.053737000"
"0.607952000","0.053588000"
"0.609628000","0.055259000"
"0.611284000","0.055305000"
"0.612898000","0.056916000"
"0.614457000","0.056807000"
"0.616261000","0.058606000"
"0.617776000","0.058632000"
"0.619392000","0.060246000"
"0.621062000","0.060349000"
"0.622648000","0.061921000"
"0.624087000","0.061629000"
"0.625874000","0.063406000"
"0.627407000","0.063360000"
"0.629002000","0.064952000"
"0.630657000","0.065028000"
"0.632094000","0.066463000"
"0.633865000","0.066697000"
"0.635378000","0.068206000"
"0.637060000","0.068111000"
"0.638698000","0.069746000"
"0.640217000","0.069649000"
"0.641935000","0.071364000"
"0.643544000","0.071375000"
"0.645218000","0.073045000"
"0.646768000","0.073009000"
"0.648438000","0.074676000"
"0.649949000","0.074629000"
"0.651588000","0.076266000"
"0.653225000","0.076320000"
"0.654888000","0.077981000"
"0.656439000","0.077688000"
"0.657989000","0.079232000"
"0.659689000","0.079571000"
"0.661275000","0.081142000"
"0.662930000","0.081199000"
"0.664507000","0.082769000"
"0.666006000","0.063498000"
"0.667700000","0.065185000"
"0.669373000","0.066157000"
"0.670962000","0.067744000"
"0.672601000","0.067747000"
"0.674058000","0.069194000"
"0.675779000","0.069280000"
"0.677472000","0.070968000"
"0.679093000","0.071103000"
"0.681477000","0.071827000"
"0.683911000","0.072421000"
"0.686368000","0.074833000"
"0.688784000","0.075695000"
"0.691038000","0.077870000"
"0.691936000","0.077412000"
"0.694447000","0.078130000"
"0.696850000","0.079035000"
"0.699133000","0.081313000"
"0.701593000","0.082153000"
"0.704088000","0.082987000"
