frame.time_relative,tcp.seq,tcp.analysis.ack_rtt
"0.069594000","0","0.051017000"
"0.069660000","1","0.000066000"
"0.120736000","1","0.051000000"
"0.120803000","38","0.000066000"
"0.214596000","2","0.093539000"
"0.265730000","2","0.051087000"
"0.308571000","141","0.042840000"
"0.317517000","0","0.051565000"
"0.317587000","1","0.000070000"
"0.368335000","1","0.050666000"
"0.368674000","141","0.000010000"
"0.419317000","141","0.000019000"
"0.470250000","1","0.050898000"
"0.470251000","1","0.050887000"
"0.470251000","1","0.050880000"
"0.470251000","1","0.050875000"
"0.470251000","1","0.050861000"
"0.521554000","1","0.051235000"
"0.521554000","1","0.051208000"
"0.521555000","1","0.051082000"
"0.521555000","1","0.051070000"
"0.521555000","1","0.051015000"
"0.521555000","1","0.050986000"
"0.521555000","1","0.050972000"
"0.521555000","1","0.050944000"
"0.521753000","1","0.051127000"
"0.521753000","1","0.051108000"
"0.572988000","1","0.051362000"
"0.572989000","1","0.050700000"
"0.624251000","1","0.051200000"
"0.624251000","1","0.051174000"
"0.624251000","1","0.051092000"
"0.624252000","1","0.051069000"
"0.624252000","1","0.051020000"
"0.624252000","1","0.051007000"
"0.624252000","1","0.050912000"
"0.624252000","1","0.050888000"
"0.624407000","1","0.050947000"
"0.624408000","1","0.050936000"
"0.624408000","1","0.050877000"
"0.624408000","1","0.050859000"
"0.624408000","1","0.050840000"
"0.624408000","1","0.050825000"
"0.624408000","1","0.050808000"
"0.624408000","1","0.050753000"
"0.624499000","1","0.050835000"
"0.624500000","1","0.050795000"
"0.624500000","1","0.050784000"
"0.624500000","1","0.050758000"
"0.624500000","1","0.050749000"
"0.624500000","1","0.050729000"
"0.675475000","1","0.051157000"
"0.675475000","1","0.051132000"
"0.676815000","1","0.052385000"
"0.676815000","1","0.052361000"
"0.676815000","1","0.052356000"
"0.676815000","1","0.052308000"
"0.676816000","1","0.052297000"
"0.676816000","1","0.052215000"
"0.676816000","1","0.052142000"
"0.676816000","1","0.052131000"
"0.676952000","1","0.052251000"
"0.676952000","1","0.052237000"
"0.676952000","1","0.052205000"
"0.676952000","1","0.052196000"
"0.676952000","1","0.052192000"
"0.676952000","1","0.052161000"
"0.676953000","1","0.052153000"
"0.676953000","1","0.052140000"
"0.676983000","1","0.052160000"
"0.676983000","1","0.052146000"
"0.676983000","1","0.052089000"
"0.676983000","1","0.052079000"
"0.676983000","1","0.052075000"
"0.676984000","1","0.052038000"
"0.676984000","1","0.052022000"
"0.676984000","1","0.051997000"
"0.677012000","1","0.052009000"
"0.677013000","1","0.051985000"
"0.677013000","1","0.051792000"
"0.677013000","1","0.051752000"
"0.677013000","1","0.051740000"
"0.677013000","1","0.051710000"
"0.677013000","1","0.051696000"
"0.677013000","1","0.051516000"
"0.726595000","1","0.051054000"
"0.726596000","1","0.051009000"
"0.726596000","1","0.050872000"
"0.727796000","1","0.050940000"
"0.727796000","1","0.050887000"
"0.727977000","1","0.050902000"
"0.727977000","1","0.050860000"
"0.727977000","1","0.050852000"
"0.727977000","1","0.050755000"
"0.727977000","1","0.050739000"
"0.727977000","1","0.050733000"
"0.727977000","1","0.050632000"
"0.727978000","1","0.050615000"
"0.728114000","1","0.050742000"
"0.728114000","1","0.050710000"
"0.728114000","1","0.050699000"
"0.728551000","1","0.051090000"
"0.728552000","1","0.051079000"
"0.728552000","1","0.051074000"
"0.728552000","1","0.051005000"
"0.728552000","1","0.050982000"
