frame.time_relative,tcp.seq,tcp.analysis.ack_rtt
"0.051030000","0","0.051030000"
"0.051122000","1","0.000092000"
"0.102268000","1","0.051014000"
"0.102401000","38","0.000133000"
"0.197484000","2","0.094778000"
"0.248725000","2","0.051194000"
"0.291975000","141","0.043249000"
"0.300223000","0","0.051190000"
"0.300267000","1","0.000044000"
"0.350776000","1","0.050408000"
"0.351191000","141","0.000012000"
"0.401648000","141","0.000023000"
"0.452578000","1","0.050892000"
"0.452579000","1","0.050874000"
"0.452579000","1","0.050866000"
"0.452579000","1","0.050852000"
"0.452579000","1","0.050846000"
"0.504008000","1","0.051365000"
"0.504008000","1","0.051338000"
"0.504009000","1","0.051042000"
"0.504009000","1","0.051001000"
"0.504009000","1","0.050869000"
"0.504009000","1","0.050846000"
"0.504009000","1","0.050808000"
"0.504009000","1","0.050778000"
"0.504163000","1","0.050907000"
"0.504163000","1","0.050892000"
"0.555361000","1","0.051285000"
"0.555362000","1","0.051258000"
"0.555362000","1","0.051052000"
"0.555362000","1","0.051025000"
"0.555362000","1","0.050984000"
"0.555362000","1","0.050964000"
"0.555362000","1","0.050935000"
"0.555362000","1","0.050921000"
"0.555502000","1","0.050959000"
"0.555784000","1","0.051204000"
"0.556283000","1","0.051687000"
"0.556782000","1","0.052170000"
"0.557356000","1","0.052724000"
"0.558002000","1","0.053355000"
"0.558454000","1","0.053785000"
"0.559071000","1","0.054384000"
"0.559713000","1","0.055013000"
"0.560317000","1","0.055594000"
"0.606722000","1","0.051262000"
"0.606722000","1","0.051108000"
"0.606722000","1","0.051079000"
"0.606722000","1","0.051002000"
"0.606723000","1","0.050989000"
"0.606723000","1","0.050844000"
"0.606723000","1","0.050823000"
"0.606723000","1","0.050732000"
"0.606859000","1","0.050852000"
"0.606859000","1","0.050787000"
"0.606948000","1","0.050853000"
"0.607867000","1","0.051742000"
"0.608001000","1","0.051836000"
"0.608652000","1","0.052468000"
"0.609281000","1","0.053080000"
"0.609819000","1","0.053600000"
"0.610462000","1","0.054232000"
"0.610887000","1","0.054625000"
"0.611652000","1","0.055374000"
"0.612277000","1","0.055863000"
"0.612770000","1","0.056331000"
"0.613452000","1","0.056992000"
"0.613952000","1","0.057481000"
"0.614681000","1","0.058193000"
"0.615284000","1","0.058784000"
"0.615747000","1","0.058943000"
"0.616465000","1","0.059645000"
"0.617066000","1","0.059688000"
"0.617672000","1","0.060278000"
"0.618327000","1","0.060304000"
"0.618767000","1","0.060729000"
"0.619438000","1","0.060976000"
"0.620032000","1","0.061564000"
"0.620698000","1","0.061620000"
"0.621325000","1","0.062241000"
"0.621783000","1","0.062062000"
"0.622532000","1","0.062806000"
"0.623134000","1","0.062810000"
"0.658173000","1","0.051381000"
"0.658174000","1","0.051214000"
"0.658174000","1","0.051189000"
"0.658174000","1","0.051140000"
"0.658174000","1","0.051113000"
"0.658174000","1","0.051099000"
"0.658174000","1","0.051085000"
"0.658175000","1","0.051068000"
"0.658937000","1","0.051811000"
"0.659892000","1","0.052757000"
"0.660707000","1","0.053553000"
"0.661682000","1","0.054517000"
"0.662455000","1","0.055273000"
"0.662763000","1","0.055570000"
"0.663659000","1","0.056461000"
"0.664745000","1","0.057534000"
"0.665563000","1","0.058339000"
"0.666522000","1","0.059277000"
"0.667638000","1","0.059743000"
"0.668787000","1","0.060769000"
"0.670121000","1","0.061451000"
"0.671280000","1","0.061990000"
"0.672565000","1","0.062738000"
"0.673133000","1","0.062663000"
"0.674322000","1","0.063404000"
"0.675590000","1","0.063933000"
"0.676698000","1","0.064417000"
"0.677858000","1","0.065080000"
"0.679106000","1","0.065643000"
"0.680478000","1","0.066515000"
"0.681605000","1","0.066916000"
"0.682738000","1","0.067445000"
"0.684015000","1","0.068262000"
"0.684825000","1","0.068354000"
"0.686064000","1","0.068992000"
"0.687367000","1","0.069689000"
"0.688555000","1","0.070222000"
"0.689671000","1","0.070898000"
"0.690867000","1","0.071423000"
"0.692190000","1","0.072151000"
"0.693418000","1","0.072714000"
"0.694663000","1","0.073334000"
"0.696183000","1","0.074396000"
"0.696614000","1","0.074777000"
"0.698234000","1","0.075096000"
"0.699110000","1","0.075966000"
"0.708777000","1","0.050540000"
"0.708777000","1","0.050506000"
"0.708777000","1","0.050375000"
"0.708777000","1","0.050341000"
"0.710367000","1","0.051920000"
"0.711596000","1","0.053084000"
"0.713414000","1","0.054867000"
"0.715169000","1","0.056614000"
"0.716967000","1","0.058011000"
"0.718782000","1","0.058876000"
"0.720648000","1","0.059934000"
"0.722532000","1","0.060844000"
"0.723362000","1","0.060898000"
"0.725613000","1","0.061949000"
"0.727697000","1","0.062946000"
"0.729664000","1","0.064093000"
"0.731768000","1","0.065240000"
"0.733961000","1","0.066314000"
"0.736054000","1","0.067259000"
"0.737005000","1","0.068186000"
"0.739124000","1","0.068990000"
"0.741249000","1","0.069961000"
"0.743396000","1","0.070826000"
"0.745423000","1","0.072285000"
"0.747559000","1","0.073233000"
"0.749602000","1","0.074007000"
"0.750576000","1","0.074965000"
"0.752632000","1","0.075929000"
"0.754910000","1","0.077044000"
"0.756986000","1","0.077871000"
"0.758985000","1","0.078501000"
"0.761477000","1","0.079867000"
"0.763880000","1","0.081135000"
"0.765343000","1","0.081322000"
"0.766536000","1","0.081705000"
"0.767730000","1","0.081661000"
"0.769120000","1","0.081746000"
"0.770208000","1","0.081640000"
"0.771493000","1","0.081811000"
"0.772606000","1","0.081724000"
"0.773798000","1","0.081600000"
"0.775109000","1","0.081684000"
"0.776368000","1","0.081698000"
"0.777521000","1","0.081327000"
"0.779086000","1","0.082858000"
"0.780222000","1","0.081981000"
"0.781524000","1","0.082401000"
"0.782593000","1","0.073798000"
"0.783974000","1","0.075135000"
"0.785126000","1","0.076171000"
"0.786236000","1","0.077268000"
"0.787559000","1","0.078584000"
"0.788619000","1","0.079639000"
"0.790329000","1","0.079954000"
"0.791509000","1","0.079905000"
"0.792982000","1","0.079544000"
"0.794477000","1","0.079292000"
"0.796000000","1","0.079022000"
"0.797496000","1","0.080511000"
"0.799046000","1","0.080248000"
"0.800500000","1","0.079826000"
"0.802102000","1","0.079555000"
"0.803551000","1","0.080995000"
"0.805172000","1","0.079536000"
"0.806530000","1","0.080883000"
"0.808137000","1","0.080421000"
"0.809517000","1","0.079842000"
"0.811075000","1","0.081386000"
"0.812522000","1","0.080743000"
"0.814155000","1","0.080187000"
"0.815535000","1","0.079473000"
"0.817211000","1","0.081143000"
"0.818354000","1","0.081344000"
"0.819817000","1","0.080688000"
"0.821094000","1","0.079838000"
"0.822307000","1","0.081045000"
"0.823536000","1","0.080126000"
"0.824612000","1","0.081194000"
"0.825866000","1","0.080433000"
"0.827092000","1","0.081653000"
"0.828354000","1","0.080783000"
"0.829482000","1","0.081904000"
"0.830685000","1","0.081076000"
"0.831938000","1","0.082324000"
"0.833464000","1","0.080823000"
"0.834621000","1","0.081973000"
"0.835917000","1","0.080997000"
"0.837172000","1","0.082246000"
"0.838349000","1","0.081360000"
"0.839475000","1","0.082483000"
"0.840667000","1","0.081673000"
"0.841921000","1","0.082921000"
"0.843220000","1","0.081735000"
"0.844380000","1","0.082889000"
"0.845587000","1","0.081695000"
"0.847178000","1","0.081827000"
"0.848315000","1","0.082958000"
"0.849455000","1","0.082911000"
"0.850646000","1","0.082908000"
"0.851933000","1","0.082805000"
"0.853090000","1","0.082876000"
"0.854339000","1","0.082839000"
"0.855472000","1","0.082858000"
"0.856690000","1","0.082882000"
"0.857992000","1","0.082874000"
"0.859157000","1","0.082783000"
"0.860616000","1","0.083091000"
"0.861896000","1","0.082806000"
"0.863109000","1","0.082878000"
"0.864374000","1","0.082845000"
"0.865493000","1","0.082895000"
"0.866667000","1","0.084057000"
"0.867993000","1","0.084012000"
"0.869143000","1","0.084010000"
"0.870430000","1","0.084186000"
"0.871505000","1","0.083940000"
"0.872850000","1","0.084225000"
"0.874328000","1","0.083993000"
"0.875470000","1","0.083951000"
"0.876639000","1","0.083650000"
"0.877921000","1","0.083438000"
"0.879148000","1","0.083123000"
"0.880348000","1","0.084309000"
"0.881493000","1","0.083987000"
"0.882766000","1","0.083713000"
"0.883985000","1","0.083478000"
"0.885202000","1","0.084689000"
"0.886426000","1","0.084317000"
"0.888017000","1","0.084457000"
"0.889152000","1","0.083974000"
"0.890359000","1","0.083824000"
"0.891467000","1","0.084927000"
"0.892806000","1","0.084661000"
"0.894001000","1","0.084478000"
"0.895224000","1","0.084143000"
"0.896396000","1","0.085310000"
"0.897511000","1","0.084981000"
"0.898748000","1","0.084586000"
"0.900032000","1","0.084490000"
"0.900234000","1","0.084667000"
"0.901508000","1","0.084283000"
"0.902738000","1","0.085500000"
"0.903999000","1","0.085636000"
"0.905187000","1","0.085362000"
"0.906412000","1","0.085310000"
"0.907535000","1","0.085219000"
"0.908816000","1","0.085273000"
"0.910028000","1","0.085408000"
"0.911247000","1","0.085373000"
"0.912496000","1","0.085396000"
"0.913582000","1","0.085218000"
"0.915209000","1","0.085717000"
"0.916388000","1","0.085696000"
"0.917523000","1","0.085579000"
"0.918863000","1","0.085393000"
"0.920062000","1","0.086585000"
"0.921265000","1","0.086639000"
"0.922431000","1","0.086509000"
"0.923581000","1","0.086402000"
"0.924787000","1","0.086432000"
"0.926080000","1","0.086597000"
"0.927334000","1","0.086661000"
"0.928877000","1","0.086948000"
"0.930009000","1","0.086782000"
"0.931208000","1","0.086820000"
"0.932453000","1","0.086859000"
"0.933612000","1","0.086426000"
"0.934861000","1","0.086537000"
"0.936075000","1","0.086613000"
"0.937790000","1","0.087137000"
"0.938486000","1","0.086545000"
"0.939735000","1","0.086637000"
"0.940913000","1","0.086567000"
"0.942404000","1","0.086925000"
"0.943560000","1","0.086861000"
"0.944834000","1","0.086835000"
"0.946065000","1","0.086901000"
"0.947269000","1","0.086645000"
"0.948551000","1","0.087922000"
"0.949663000","1","0.087760000"
"0.950879000","1","0.087762000"
"0.952117000","1","0.087734000"
"0.953361000","1","0.087861000"
"0.954529000","1","0.087855000"
"0.956095000","1","0.088095000"
"0.957252000","1","0.088101000"
"0.958428000","1","0.087988000"
"0.959574000","1","0.088061000"
"0.960823000","1","0.087967000"
"0.962107000","1","0.087768000"
"0.963263000","1","0.087789000"
"0.964456000","1","0.087812000"
"0.965651000","1","0.087726000"
"0.966885000","1","0.087731000"
"0.968073000","1","0.087712000"
"0.969615000","1","0.088103000"
"0.970821000","1","0.088048000"
"0.972027000","1","0.088032000"
"0.973195000","1","0.087986000"
"0.974374000","1","0.087941000"
"0.975676000","1","0.089236000"
"0.976892000","1","0.088867000"
"0.978090000","1","0.088932000"
"0.979295000","1","0.088928000"
"0.980442000","1","0.088967000"
"0.981705000","1","0.088893000"
"0.983313000","1","0.089306000"
"0.984345000","1","0.089115000"
"0.985585000","1","0.089182000"
"0.986875000","1","0.089357000"
"0.988122000","1","0.089368000"
"0.989316000","1","0.089271000"
"0.990390000","1","0.088862000"
"0.991680000","1","0.088929000"
"0.992863000","1","0.088842000"
"0.994083000","1","0.090052000"
"0.995238000","1","0.090041000"
"0.996901000","1","0.089353000"
"0.998001000","1","0.089177000"
"0.999270000","1","0.089231000"
"1.000364000","1","0.090318000"
"1.001652000","1","0.090389000"
"1.002849000","1","0.090332000"
"1.004027000","1","0.090432000"
"1.005281000","1","0.090060000"
"1.006405000","1","0.090008000"
"1.007685000","1","0.090151000"
"1.008914000","1","0.090038000"
"1.010351000","1","0.090273000"
"1.011679000","1","0.090402000"
"1.012876000","1","0.090431000"
"1.014089000","1","0.090492000"
"1.015268000","1","0.090463000"
"1.016395000","1","0.090300000"
"1.017720000","1","0.090365000"
"1.018838000","1","0.089927000"
"1.020098000","1","0.091172000"
"1.021279000","1","0.091242000"
"1.022462000","1","0.091235000"
"1.024089000","1","0.090450000"
"1.025251000","1","0.090364000"
"1.026380000","1","0.091479000"
"1.027645000","1","0.091540000"
"1.028858000","1","0.091033000"
"1.030128000","1","0.091611000"
"1.031327000","1","0.091560000"
"1.032435000","1","0.091489000"
"1.033701000","1","0.091270000"
"1.034905000","1","0.091326000"
"1.036210000","1","0.091356000"
"1.036368000","1","0.091474000"
"1.037744000","1","0.091655000"
"1.038858000","1","0.091579000"
"1.040069000","1","0.091502000"
"1.041265000","1","0.091579000"
"1.042411000","1","0.091503000"
"1.043718000","1","0.091574000"
"1.044937000","1","0.091548000"
"1.046189000","1","0.091631000"
"1.047249000","1","0.091134000"
"1.048459000","1","0.092336000"
"1.049743000","1","0.092466000"
"1.051250000","1","0.092802000"
"1.052406000","1","0.092823000"
"1.053753000","1","0.092923000"
"1.054906000","1","0.092788000"
"1.056118000","1","0.092850000"
"1.057280000","1","0.092819000"
"1.058458000","1","0.092799000"
"1.059755000","1","0.092862000"
"1.060975000","1","0.092895000"
"1.062113000","1","0.092486000"
"1.063306000","1","0.092477000"
"1.064944000","1","0.092910000"
"1.066116000","1","0.092915000"
"1.067257000","1","0.092875000"
"1.068419000","1","0.092733000"
"1.069727000","1","0.092820000"
"1.070947000","1","0.092847000"
"1.072165000","1","0.092861000"
"1.073264000","1","0.092812000"
"1.074515000","1","0.092803000"
"1.075751000","1","0.092430000"
"1.077007000","1","0.093679000"
"1.078434000","1","0.094081000"
"1.079683000","1","0.094091000"
"1.080878000","1","0.093983000"
"1.082131000","1","0.093998000"
"1.083251000","1","0.093926000"
"1.084556000","1","0.094160000"
"1.085735000","1","0.094047000"
"1.086978000","1","0.094108000"
"1.088152000","1","0.094056000"
"1.089292000","1","0.094048000"
"1.090552000","1","0.093644000"
"1.092157000","1","0.094144000"
"1.093242000","1","0.093966000"
"1.094541000","1","0.094169000"
"1.095765000","1","0.094109000"
"1.096928000","1","0.094071000"
