frame.time_relative,tcp.seq,tcp.analysis.ack_rtt
"0.051026000","0","0.051026000"
"0.051094000","1","0.000068000"
"0.102141000","1","0.050839000"
"0.102230000","38","0.000024000"
"0.194835000","2","0.092312000"
"0.246135000","2","0.051260000"
"0.286777000","141","0.040641000"
"0.297935000","0","0.051458000"
"0.298018000","1","0.000083000"
"0.348955000","1","0.050789000"
"0.349620000","141","0.000012000"
"0.400569000","141","0.000024000"
"0.451771000","1","0.051167000"
"0.451771000","1","0.051152000"
"0.452497000","1","0.051875000"
"0.452871000","1","0.052239000"
"0.453670000","1","0.053034000"
"0.503170000","1","0.051323000"
"0.503170000","1","0.051292000"
"0.503700000","1","0.051754000"
"0.504194000","1","0.052229000"
"0.504904000","1","0.052378000"
"0.505636000","1","0.053077000"
"0.505983000","1","0.053075000"
"0.506734000","1","0.053801000"
"0.507112000","1","0.053414000"
"0.507959000","1","0.054192000"
"0.554672000","1","0.051436000"
"0.554672000","1","0.051385000"
"0.555106000","1","0.051679000"
"0.555672000","1","0.052215000"
"0.556072000","1","0.052348000"
"0.556611000","1","0.052862000"
"0.557272000","1","0.053051000"
"0.557876000","1","0.053635000"
"0.558551000","1","0.053620000"
"0.558854000","1","0.053891000"
"0.559503000","1","0.053846000"
"0.560236000","1","0.054561000"
"0.560805000","1","0.054800000"
"0.561372000","1","0.055352000"
"0.562015000","1","0.055261000"
"0.562529000","1","0.055762000"
"0.563267000","1","0.056142000"
"0.563880000","1","0.056742000"
"0.564406000","1","0.056441000"
"0.565075000","1","0.057104000"
"0.605809000","1","0.051067000"
"0.605810000","1","0.051035000"
"0.606395000","1","0.051425000"
"0.606974000","1","0.051951000"
"0.607587000","1","0.052349000"
"0.608142000","1","0.052852000"
"0.608717000","1","0.053009000"
"0.609340000","1","0.053609000"
"0.609986000","1","0.053890000"
"0.610500000","1","0.054384000"
"0.611198000","1","0.054563000"
"0.611799000","1","0.055144000"
"0.612354000","1","0.055064000"
"0.612997000","1","0.055680000"
"0.613465000","1","0.055565000"
"0.614228000","1","0.056307000"
"0.614824000","1","0.056265000"
"0.615357000","1","0.056792000"
"0.616039000","1","0.057179000"
"0.616493000","1","0.057629000"
"0.617257000","1","0.057747000"
"0.617845000","1","0.058329000"
"0.618350000","1","0.058106000"
"0.619016000","1","0.058767000"
"0.619529000","1","0.058718000"
"0.620333000","1","0.059512000"
"0.620843000","1","0.059465000"
"0.621368000","1","0.059985000"
"0.622094000","1","0.060073000"
"0.622713000","1","0.060688000"
"0.623297000","1","0.060764000"
"0.623921000","1","0.061384000"
"0.624384000","1","0.061113000"
"0.625122000","1","0.061846000"
"0.625744000","1","0.061860000"
"0.626317000","1","0.062429000"
"0.626932000","1","0.062521000"
"0.627438000","1","0.063023000"
"0.628135000","1","0.063056000"
"0.628737000","1","0.063654000"
"0.656637000","1","0.050772000"
"0.656638000","1","0.050751000"
"0.657319000","1","0.051419000"
"0.658299000","1","0.051880000"
"0.659141000","1","0.052702000"
"0.659637000","1","0.052645000"
"0.660660000","1","0.053048000"
"0.661450000","1","0.053294000"
"0.662425000","1","0.054260000"
"0.663333000","1","0.054604000"
"0.664265000","1","0.054916000"
"0.665117000","1","0.055125000"
"0.666105000","1","0.056108000"
"0.667010000","1","0.056504000"
"0.667893000","1","0.056687000"
"0.668700000","1","0.056895000"
"0.669540000","1","0.057731000"
"0.670463000","1","0.058104000"
"0.671394000","1","0.058393000"
"0.672371000","1","0.058901000"
"0.673322000","1","0.059848000"
"0.674184000","1","0.059952000"
"0.675355000","1","0.060525000"
"0.676644000","1","0.061282000"
"0.677871000","1","0.061827000"
"0.679092000","1","0.062595000"
"0.680300000","1","0.063038000"
"0.681404000","1","0.063553000"
"0.682677000","1","0.064322000"
"0.683838000","1","0.064813000"
"0.685118000","1","0.065582000"
"0.686362000","1","0.066022000"
"0.687417000","1","0.066569000"
"0.688660000","1","0.067285000"
"0.690009000","1","0.067908000"
"0.691170000","1","0.068450000"
"0.692320000","1","0.069017000"
"0.693496000","1","0.069569000"
"0.694808000","1","0.070416000"
"0.695371000","1","0.070243000"
"0.695943000","1","0.070193000"
"0.696589000","1","0.070265000"
"0.697232000","1","0.070294000"
"0.697757000","1","0.070313000"
"0.698357000","1","0.070215000"
"0.699108000","1","0.070364000"
"0.707218000","1","0.050529000"
"0.707337000","1","0.050621000"
"0.707988000","1","0.050646000"
"0.708525000","1","0.051166000"
"0.709182000","1","0.050846000"
"0.709440000","1","0.051084000"
"0.710195000","1","0.051029000"
"0.710824000","1","0.051165000"
"0.711616000","1","0.050949000"
"0.712488000","1","0.051028000"
"0.713399000","1","0.050966000"
"0.714384000","1","0.051045000"
"0.715267000","1","0.050996000"
"0.716161000","1","0.051037000"
"0.717171000","1","0.051060000"
"0.717989000","1","0.050973000"
"0.718908000","1","0.051009000"
"0.719753000","1","0.051045000"
"0.720680000","1","0.051134000"
"0.721547000","1","0.051079000"
"0.722454000","1","0.051981000"
"0.723146000","1","0.051743000"
"0.724091000","1","0.051711000"
"0.725038000","1","0.051709000"
"0.725895000","1","0.051705000"
"0.726747000","1","0.051386000"
"0.727359000","1","0.051993000"
"0.727995000","1","0.052610000"
"0.728505000","1","0.051856000"
"0.729218000","1","0.052564000"
"0.729841000","1","0.051965000"
"0.730361000","1","0.052481000"
"0.731084000","1","0.051985000"
"0.731529000","1","0.052426000"
"0.732190000","1","0.051884000"
"0.732784000","1","0.052473000"
"0.733358000","1","0.051948000"
"0.734004000","1","0.052588000"
"0.734652000","1","0.051968000"
"0.735321000","1","0.052626000"
"0.735858000","1","0.052010000"
"0.736466000","1","0.052613000"
"0.736732000","1","0.052877000"
"0.737387000","1","0.052261000"
"0.738001000","1","0.052870000"
"0.738540000","1","0.052170000"
"0.739338000","1","0.052963000"
"0.739883000","1","0.052459000"
"0.740348000","1","0.052914000"
"0.741131000","1","0.052463000"
"0.741661000","1","0.052988000"
"0.742203000","1","0.052187000"
"0.742920000","1","0.052898000"
"0.743365000","1","0.052188000"
"0.744121000","1","0.052938000"
"0.744649000","1","0.052320000"
"0.745319000","1","0.052985000"
"0.745913000","1","0.053564000"
"0.746418000","1","0.052912000"
"0.747040000","1","0.053529000"
"0.747741000","1","0.052925000"
"0.748264000","1","0.052886000"
"0.748966000","1","0.053013000"
"0.749427000","1","0.052831000"
"0.750120000","1","0.052882000"
"0.750333000","1","0.052569000"
"0.751016000","1","0.052653000"
"0.751587000","1","0.052472000"
"0.752299000","1","0.053179000"
"0.757422000","1","0.050182000"
"0.757713000","1","0.050362000"
"0.758361000","1","0.050366000"
"0.759034000","1","0.050504000"
"0.759579000","1","0.050133000"
"0.761011000","1","0.050181000"
"0.761827000","1","0.050205000"
"0.762675000","1","0.050182000"
"0.763374000","1","0.050877000"
"0.764362000","1","0.050957000"
"0.765306000","1","0.050916000"
"0.766257000","1","0.050981000"
"0.767138000","1","0.050967000"
"0.768067000","1","0.050893000"
"0.768525000","1","0.050525000"
"0.769411000","1","0.050495000"
"0.770362000","1","0.050599000"
"0.771332000","1","0.050643000"
"0.772265000","1","0.050712000"
"0.773174000","1","0.050715000"
"0.774000000","1","0.050848000"
"0.775002000","1","0.050905000"
"0.775870000","1","0.050827000"
"0.776775000","1","0.050864000"
"0.777667000","1","0.050916000"
"0.778485000","1","0.051122000"
"0.779414000","1","0.050905000"
"0.780368000","1","0.051147000"
"0.781339000","1","0.050975000"
"0.782312000","1","0.051224000"
"0.783172000","1","0.051639000"
"0.784075000","1","0.051285000"
"0.784977000","1","0.051615000"
"0.785963000","1","0.051306000"
"0.786866000","1","0.051540000"
"0.787749000","1","0.051262000"
"0.788472000","1","0.051732000"
"0.789413000","1","0.051399000"
"0.790367000","1","0.051820000"
"0.791256000","1","0.051369000"
"0.792211000","1","0.051856000"
"0.793131000","1","0.051464000"
"0.794076000","1","0.051867000"
"0.794963000","1","0.052037000"
