frame.time_relative,tcp.seq,tcp.analysis.ack_rtt
"0.145958000","0","0.076364000"
"0.146079000","1","0.000121000"
"0.197430000","1","0.051135000"
"0.197492000","38","0.000061000"
"0.289559000","2","0.091638000"
"0.341006000","2","0.051398000"
"0.383890000","141","0.042883000"
"0.392786000","0","0.051426000"
"0.392876000","1","0.000090000"
"0.443745000","1","0.050594000"
"0.444249000","141","0.000012000"
"0.494788000","141","0.000021000"
"0.545592000","1","0.050759000"
"0.545592000","1","0.050738000"
"0.545592000","1","0.050734000"
"0.545592000","1","0.050604000"
"0.545593000","1","0.050594000"
"0.596963000","1","0.051307000"
"0.596964000","1","0.051285000"
"0.596964000","1","0.051066000"
"0.596964000","1","0.051033000"
"0.596964000","1","0.050976000"
"0.596964000","1","0.050963000"
"0.596964000","1","0.050917000"
"0.596964000","1","0.050902000"
"0.597090000","1","0.050957000"
"0.597090000","1","0.050941000"
"0.648324000","1","0.051300000"
"0.648324000","1","0.051278000"
"0.648324000","1","0.051099000"
"0.648324000","1","0.051071000"
"0.648324000","1","0.051022000"
"0.648324000","1","0.051010000"
"0.648324000","1","0.050943000"
"0.648324000","1","0.050921000"
"0.648498000","1","0.051042000"
"0.648498000","1","0.051014000"
"0.648498000","1","0.050998000"
"0.648826000","1","0.051303000"
"0.649263000","1","0.051726000"
"0.649812000","1","0.052229000"
"0.650380000","1","0.052781000"
"0.651079000","1","0.053456000"
"0.651605000","1","0.053969000"
"0.699775000","1","0.051381000"
"0.699776000","1","0.051350000"
"0.699776000","1","0.051203000"
"0.699776000","1","0.051175000"
"0.699776000","1","0.051144000"
"0.699776000","1","0.051132000"
"0.699776000","1","0.051098000"
"0.699777000","1","0.051082000"
"0.700051000","1","0.051295000"
"0.700052000","1","0.051281000"
"0.700052000","1","0.051119000"
"0.700100000","1","0.051149000"
"0.700813000","1","0.051834000"
"0.701198000","1","0.052208000"
"0.701768000","1","0.052748000"
"0.702412000","1","0.053383000"
"0.703471000","1","0.054382000"
"0.703739000","1","0.054633000"
"0.704204000","1","0.055043000"
