frame.time_relative,tcp.seq,tcp.analysis.ack_rtt
"0.281459000","0","0.050967000"
"0.281537000","1","0.000078000"
"0.332801000","1","0.051097000"
"0.332863000","38","0.000061000"
"0.424383000","2","0.091223000"
"0.475440000","2","0.050975000"
"0.515953000","141","0.040512000"
"0.527132000","0","0.051273000"
"0.527177000","1","0.000045000"
"0.577884000","1","0.050644000"
"0.578268000","141","0.000010000"
"0.628716000","141","0.000024000"
"0.679614000","1","0.050858000"
"0.679615000","1","0.050841000"
"0.679615000","1","0.050837000"
"0.679615000","1","0.050824000"
"0.679615000","1","0.050821000"
"0.731253000","1","0.051552000"
"0.731254000","1","0.051529000"
"0.731254000","1","0.051341000"
"0.731254000","1","0.051310000"
"0.731254000","1","0.051238000"
"0.731254000","1","0.051227000"
"0.731254000","1","0.051167000"
"0.731254000","1","0.051141000"
"0.731415000","1","0.051208000"
"0.782614000","1","0.051292000"
"0.782615000","1","0.051266000"
"0.782615000","1","0.051110000"
"0.782615000","1","0.051072000"
"0.782615000","1","0.051005000"
"0.782615000","1","0.050960000"
"0.782615000","1","0.050877000"
"0.782616000","1","0.050859000"
"0.782825000","1","0.050963000"
"0.782826000","1","0.050944000"
"0.783113000","1","0.050886000"
"0.783113000","1","0.050857000"
"0.783113000","1","0.050805000"
"0.783113000","1","0.050788000"
"0.783114000","1","0.050760000"
"0.783239000","1","0.050782000"
"0.783239000","1","0.050766000"
"0.783239000","1","0.050733000"
"0.783240000","1","0.050677000"
"0.783240000","1","0.050663000"
"0.834152000","1","0.051422000"
"0.834153000","1","0.051388000"
"0.834153000","1","0.051215000"
"0.834153000","1","0.051170000"
"0.834153000","1","0.051121000"
"0.834153000","1","0.051095000"
"0.834153000","1","0.051065000"
"0.834153000","1","0.050897000"
"0.834338000","1","0.051060000"
"0.834338000","1","0.050999000"
"0.834338000","1","0.050973000"
"0.834338000","1","0.050956000"
"0.834338000","1","0.050956000"
"0.834338000","1","0.050894000"
"0.834339000","1","0.050877000"
"0.834339000","1","0.050775000"
"0.834417000","1","0.050824000"
"0.834417000","1","0.050770000"
"0.834417000","1","0.050757000"
"0.834417000","1","0.050732000"
"0.834417000","1","0.050699000"
"0.834417000","1","0.050688000"
"0.834417000","1","0.050684000"
"0.834418000","1","0.050664000"
"0.834478000","1","0.050713000"
"0.834479000","1","0.050698000"
"0.834479000","1","0.050666000"
"0.834479000","1","0.050648000"
"0.834479000","1","0.050619000"
"0.834479000","1","0.050606000"
"0.834479000","1","0.050598000"
